date,Upper BBand,Lower BBand,Middle BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-22 20:00:00,26.0239,21.1937,23.6088,24.1119,55.8917,23.6088,0.4204,0.4618,24.78
2021-02-22 19:00:00,25.9524,21.0872,23.5198,24.0658,55.8917,23.5198,0.4101,0.4855,24.78
2021-02-22 18:00:00,25.8562,21.0327,23.4445,24.0165,55.4685,23.4445,0.3913,0.5086,24.69
2021-02-22 17:00:00,25.7599,20.9857,23.3728,23.9701,56.3985,23.3728,0.3619,0.5398,24.85
2021-02-22 16:00:00,25.6415,20.9294,23.2855,23.9094,55.6345,23.2855,0.3175,0.5556,24.68
2021-02-22 15:00:00,25.5293,20.929,23.2291,23.8563,60.519,23.2291,0.2579,0.5849,25.49
2021-02-22 14:00:00,25.3032,21.0164,23.1598,23.7436,61.1598,23.1598,0.1762,0.5313,25.59
2021-02-22 13:00:00,25.0355,21.1394,23.0875,23.6163,61.5378,23.0875,0.0874,0.4451,25.65
2021-02-22 12:00:00,24.7698,21.2952,23.0325,23.476,60.9444,23.0325,-0.002,0.3224,25.4974
2021-02-22 11:00:00,24.4717,21.4721,22.9719,23.3366,59.8965,22.9719,-0.0831,0.1767,25.23
2021-02-22 10:00:00,24.3486,21.5572,22.9529,23.206,56.9338,22.9529,-0.148,0.0153,24.5208
2021-02-22 09:00:00,24.3117,21.58,22.9459,23.1154,49.1457,22.9459,-0.1889,-0.1187,22.9999
2021-02-22 05:00:00,24.5067,21.4983,23.0025,23.1233,48.1328,23.0025,-0.2064,-0.1331,22.83
2021-02-19 20:00:00,24.7391,21.4106,23.0749,23.1435,48.5177,23.0749,-0.2248,-0.1323,22.9
2021-02-19 19:00:00,24.912,21.3644,23.1382,23.1603,49.5574,23.1382,-0.2479,-0.1364,23.09
2021-02-19 18:00:00,25.0924,21.3094,23.2009,23.1652,49.5023,23.2009,-0.2758,-0.159,23.08
2021-02-19 17:00:00,25.2334,21.2827,23.2581,23.1711,49.607,23.2581,-0.3049,-0.1846,23.1
2021-02-19 16:00:00,25.3622,21.2659,23.3141,23.176,48.2313,23.3141,-0.335,-0.2166,22.84
2021-02-19 15:00:00,25.4858,21.2723,23.3791,23.1991,48.826,23.3791,-0.3647,-0.2278,22.96
2021-02-19 14:00:00,25.622,21.2702,23.4461,23.2156,50.4288,23.4461,-0.3989,-0.2509,23.28
2021-02-19 13:00:00,25.7195,21.2707,23.4951,23.2112,48.5936,23.4951,-0.4359,-0.3095,22.92
2021-02-19 12:00:00,25.8266,21.2933,23.5599,23.2313,48.8364,23.5599,-0.4675,-0.343,22.97
2021-02-19 11:00:00,25.8816,21.3326,23.6071,23.2493,52.0323,23.6071,-0.4986,-0.3859,23.606
2021-02-19 10:00:00,25.9484,21.3365,23.6424,23.2247,50.0654,23.6424,-0.5267,-0.4999,23.21
2021-02-19 09:00:00,26.0268,21.3603,23.6936,23.2257,46.7048,23.6936,-0.5335,-0.5977,22.58
2021-02-19 08:00:00,26.1347,21.4258,23.7802,23.2702,45.4082,23.7802,-0.5174,-0.6497,22.35
2021-02-19 07:00:00,26.2687,21.5084,23.8886,23.3337,39.875,23.8886,-0.4843,-0.6832,21.45
2021-02-19 06:00:00,26.2135,21.7804,23.9969,23.4636,43.5751,23.9969,-0.4346,-0.6245,22.23
2021-02-19 05:00:00,26.2054,21.9497,24.0776,23.5487,42.0421,24.0776,-0.3871,-0.6198,22.0
2021-02-18 20:00:00,26.1545,22.1747,24.1646,23.6555,42.5769,24.1646,-0.329,-0.5814,22.11
2021-02-18 19:00:00,26.0918,22.4053,24.2486,23.7621,42.5769,24.2486,-0.2659,-0.5351,22.11
2021-02-18 18:00:00,25.9979,22.6653,24.3316,23.876,44.5506,24.3316,-0.1986,-0.4682,22.52
2021-02-18 17:00:00,25.937,22.8762,24.4066,23.9695,44.6487,24.4066,-0.1312,-0.4178,22.5401
2021-02-18 16:00:00,25.8419,23.1106,24.4762,24.0681,42.7695,24.4762,-0.0595,-0.3494,22.23
2021-02-18 15:00:00,25.6566,23.4765,24.5666,24.1949,46.5105,24.5666,0.0129,-0.2255,22.99
2021-02-18 14:00:00,25.5366,23.6859,24.6112,24.278,48.7903,24.6112,0.0725,-0.1414,23.41
2021-02-18 13:00:00,25.4607,23.8238,24.6422,24.3378,48.8454,24.6422,0.126,-0.0748,23.42
2021-02-18 12:00:00,25.3806,23.9466,24.6636,24.4011,52.1476,24.6636,0.1762,0.0103,24.0
2021-02-18 11:00:00,25.3671,24.016,24.6916,24.4288,50.3577,24.6916,0.2176,0.0597,23.68
2021-02-18 10:00:00,25.3173,24.1612,24.7392,24.4805,56.6284,24.7392,0.2571,0.1545,24.66
2021-02-18 09:00:00,25.3176,24.1509,24.7342,24.4681,54.6801,24.7342,0.2828,0.1735,24.31
2021-02-18 08:00:00,25.3091,24.1853,24.7472,24.479,57.4604,24.7472,0.3101,0.2307,24.7
2021-02-18 06:00:00,25.3081,24.1797,24.7439,24.4637,59.7183,24.7439,0.3299,0.2608,25.0
2021-02-17 20:00:00,25.2897,24.1648,24.7272,24.4267,58.6717,24.7272,0.3472,0.2648,24.8
2021-02-17 19:00:00,25.2897,24.1648,24.7272,24.401,59.9516,24.7272,0.3678,0.2864,24.97
2021-02-17 18:00:00,25.425,23.9181,24.6716,24.3618,59.0682,24.6716,0.3882,0.2925,24.796
2021-02-17 17:00:00,25.5366,23.7002,24.6184,24.3318,58.9877,24.6184,0.4121,0.3138,24.78
2021-02-17 16:00:00,25.6158,23.5143,24.565,24.3009,59.0578,24.565,0.4366,0.3381,24.79
2021-02-17 15:00:00,25.6847,23.3301,24.5074,24.2672,60.3048,24.5074,0.4613,0.3631,24.97
2021-02-17 14:00:00,25.704,23.1915,24.4477,24.2187,59.2892,24.4477,0.4858,0.3714,24.75
2021-02-17 13:00:00,25.727,23.0626,24.3948,24.1821,60.0726,24.3948,0.5144,0.399,24.866
2021-02-17 12:00:00,25.7537,22.9042,24.3289,24.1349,57.8422,24.3289,0.5433,0.4166,24.3855
2021-02-17 11:00:00,25.7601,22.8306,24.2954,24.1176,59.7159,24.2954,0.575,0.4819,24.6647
2021-02-17 10:00:00,25.8233,22.6186,24.221,24.0799,60.2586,24.221,0.5982,0.5298,24.745
2021-02-17 09:00:00,25.9254,22.3236,24.1245,24.034,63.2695,24.1245,0.6153,0.5752,25.18
2021-02-17 08:00:00,25.9369,22.0955,24.0162,23.955,66.3644,24.0162,0.6254,0.5803,25.6
2021-02-17 07:00:00,26.0005,21.7152,23.8578,23.8415,62.5719,23.8578,0.6367,0.5358,24.7
2021-02-17 06:00:00,26.1371,21.3052,23.7212,23.7823,62.3439,23.7212,0.6619,0.5627,24.65
2021-02-16 20:00:00,26.1993,20.9864,23.5928,23.7225,62.1657,23.5928,0.6867,0.594,24.61
2021-02-16 19:00:00,26.2577,20.6547,23.4562,23.6613,62.3082,23.4562,0.7098,0.6293,24.63
2021-02-16 18:00:00,26.25,20.4077,23.3288,23.5945,62.1825,23.3288,0.73,0.6633,24.6
2021-02-16 17:00:00,26.2221,20.1803,23.2012,23.5251,63.34,23.2012,0.7466,0.7,24.77
2021-02-16 16:00:00,26.1466,19.9951,23.0708,23.4393,62.7886,23.0708,0.7583,0.7194,24.63
2021-02-16 15:00:00,26.0625,19.8292,22.9458,23.3571,64.8774,22.9458,0.768,0.748,24.94
2021-02-16 14:00:00,25.9038,19.7466,22.8252,23.248,62.5047,22.8252,0.773,0.742,24.33
2021-02-16 13:00:00,25.8082,19.6194,22.7138,23.1734,62.5717,22.7138,0.7808,0.7856,24.34
2021-02-16 12:00:00,25.6824,19.556,22.6192,23.0929,61.4536,22.6192,0.7796,0.8289,24.06
2021-02-16 11:00:00,25.5836,19.4548,22.5192,23.0262,66.8297,22.5192,0.7672,0.9005,24.84
2021-02-16 10:00:00,25.3683,19.4433,22.4058,22.9011,68.845,22.4058,0.7339,0.8995,25.11
2021-02-16 09:00:00,25.0923,19.5147,22.3035,22.7488,66.687,22.3035,0.6925,0.8576,24.51
2021-02-16 08:00:00,24.9004,19.5673,22.2338,22.6273,68.1316,22.2338,0.6512,0.8528,24.7
2021-02-16 07:00:00,24.6466,19.635,22.1408,22.4844,67.7765,22.1408,0.6009,0.8148,24.6
2021-02-16 06:00:00,24.3811,19.7072,22.0442,22.3385,67.4256,22.0442,0.5474,0.7647,24.5
2021-02-16 05:00:00,24.1125,19.8092,21.9608,22.1894,69.6243,21.9608,0.4931,0.6998,24.8
2021-02-12 20:00:00,23.7446,19.9918,21.8682,22.0094,63.9408,21.8682,0.4414,0.5763,23.3
2021-02-12 19:00:00,23.6265,20.0246,21.8255,21.9203,63.5006,21.8255,0.4076,0.5629,23.2
2021-02-12 18:00:00,23.5198,20.0579,21.7888,21.8321,63.4143,21.7888,0.3688,0.5479,23.18
2021-02-12 17:00:00,23.4042,20.0949,21.7495,21.7391,62.9054,21.7495,0.3241,0.5227,23.06
2021-02-12 16:00:00,23.313,20.1293,21.7212,21.648,63.7628,21.7212,0.2744,0.4953,23.18
2021-02-12 15:00:00,23.2206,20.1738,21.6972,21.5424,63.6954,21.6972,0.2192,0.4408,23.1631
2021-02-12 14:00:00,23.1141,20.2254,21.6697,21.4306,62.6097,21.6697,0.1638,0.3665,22.89
2021-02-12 13:00:00,23.0931,20.2363,21.6647,21.33,66.0194,21.6647,0.1131,0.2943,23.3779
2021-02-12 12:00:00,22.935,20.3247,21.6299,21.1887,62.1616,21.6299,0.0678,0.1481,22.433
2021-02-12 11:00:00,22.8817,20.3363,21.609,21.1029,59.4133,21.609,0.0478,0.0555,21.85
2021-02-12 10:00:00,22.8668,20.3259,21.5963,21.0514,60.0008,21.5963,0.0458,-0.0041,21.9313
2021-02-12 09:00:00,22.8753,20.2186,21.5469,20.9907,54.1753,21.5469,0.0583,-0.0883,20.85
2021-02-12 08:00:00,22.901,20.1629,21.5319,21.0004,52.6336,21.5319,0.095,-0.0845,20.6
